col_name,data_type,comment
SHA_AUH_COMM,string,Indicates the home contact region and work contact region
SHA_DXB_COMM,string,Indicates the home contact region and work contact region
SMARTPHONE_F,string,Flag indicates if the handset is a smatphone or not
SO_CNT_CHRG_M1,int,Indicates number of charged occurences of SMS events for customers
SO_CNT_CHRG_M3,int,Indicates number of charged occurences of SMS events for customers
SO_CNT_CHRG_M6,int,Indicates number of charged occurences of SMS events for customers
SO_CNT_CHRG_WK1,int,Indicates number of charged occurences of SMS events for customers
SO_CNT_CHRG_WK2,int,Indicates number of charged occurences of SMS events for customers
SO_CNT_CHRG_WK3,int,Indicates number of charged occurences of SMS events for customers
SO_CNT_CHRG_WK4,int,Indicates number of charged occurences of SMS events for customers
SO_CNT_FREE_M1,int,Indicates number of free occurences of SMS events for customers
SO_CNT_FREE_M3,int,Indicates number of free occurences of SMS events for customers
SO_CNT_FREE_M6,int,Indicates number of free occurences of SMS events for customers
SO_CNT_FREE_WK1,int,Indicates number of free occurences of SMS events for customers
SO_CNT_FREE_WK2,int,Indicates number of free occurences of SMS events for customers
SO_CNT_FREE_WK3,int,Indicates number of free occurences of SMS events for customers
SO_CNT_FREE_WK4,int,Indicates number of free occurences of SMS events for customers
SO_CNT_IB_M1,int,In-Bundle SMS Count
SO_CNT_IB_M3,int,In-Bundle SMS Count
SO_CNT_IB_M6,int,In-Bundle SMS Count
SO_CNT_IB_WK1,int,In-Bundle SMS Count
SO_CNT_IB_WK2,int,In-Bundle SMS Count
SO_CNT_IB_WK3,int,In-Bundle SMS Count
SO_CNT_IB_WK4,int,In-Bundle SMS Count
SO_CNT_M1,int,Indicates number of occurences of SMS events for customers
SO_CNT_M3,int,Indicates number of occurences of SMS events for customers
SO_CNT_M6,int,Indicates number of occurences of SMS events for customers
SO_CNT_OFFNT_M1,int,"Indicates Number of Occurences of  SMS off net events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_CNT_OFFNT_M3,int,"Indicates Number of Occurences of  SMS off net events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_CNT_OFFNT_M6,int,"Indicates Number of Occurences of  SMS off net events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_CNT_OFFNT_WK1,int,"Indicates Number of Occurences of  SMS off net events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_CNT_OFFNT_WK2,int,"Indicates Number of Occurences of  SMS off net events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_CNT_OFFNT_WK3,int,"Indicates Number of Occurences of  SMS off net events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_CNT_OFFNT_WK4,int,"Indicates Number of Occurences of  SMS off net events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_CNT_ONNT_M1,int,"Indicates Number of Occurences of  SMS Onnet events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_CNT_ONNT_M3,int,"Indicates Number of Occurences of  SMS Onnet events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_CNT_ONNT_M6,int,"Indicates Number of Occurences of  SMS Onnet events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_CNT_ONNT_WK1,int,"Indicates Number of Occurences of  SMS Onnet events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_CNT_ONNT_WK2,int,"Indicates Number of Occurences of  SMS Onnet events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_CNT_ONNT_WK3,int,"Indicates Number of Occurences of  SMS Onnet events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_CNT_ONNT_WK4,int,"Indicates Number of Occurences of  SMS Onnet events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_CNT_WK1,int,"Indicates Number of Occurences of SMS Local events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_CNT_WK2,int,"Indicates Number of Occurences of SMS Local events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_CNT_WK3,int,"Indicates Number of Occurences of SMS Local events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_CNT_WK4,int,"Indicates Number of Occurences of SMS Local events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_CNT_WKDAY_M1,int,"Indicates Number of Occurences of SMS Local events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_CNT_WKEND_M1,int,"Indicates Number of Occurences of SMS Local events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_IDD_CNT_M1,int,"Indicates Number of Occurences of SMS International events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_IDD_CNT_M3,int,"Indicates Number of Occurences of SMS International events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_IDD_CNT_M6,int,"Indicates Number of Occurences of SMS International events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_IDD_CNT_WK1,int,"Indicates Number of Occurences of SMS International events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_IDD_CNT_WK2,int,"Indicates Number of Occurences of SMS International events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_IDD_CNT_WK3,int,"Indicates Number of Occurences of SMS International events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_IDD_CNT_WK4,int,"Indicates Number of Occurences of SMS International events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_IDD_REV_M1,int,"Indicates Total Revenue of SMS International events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_IDD_REV_M3,"decimal(20,8)","Indicates Total Revenue of SMS International events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_IDD_REV_M6,"decimal(20,8)","Indicates Total Revenue of SMS International events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_IDD_REV_WK1,"decimal(20,8)","Indicates Total Revenue of SMS International events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_IDD_REV_WK2,"decimal(20,8)","Indicates Total Revenue of SMS International events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_IDD_REV_WK3,"decimal(20,8)","Indicates Total Revenue of SMS International events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_IDD_REV_WK4,"decimal(20,8)","Indicates Total Revenue of SMS International events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_REV_M1,int,"Indicates Total Revenue of SMS Local events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_REV_M3,"decimal(20,8)","Indicates Total Revenue of SMS Local events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_REV_M6,"decimal(20,8)","Indicates Total Revenue of SMS Local events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_REV_OFFNT_M1,"decimal(20,8)","Indicates Total Revenue of SMS Local Offnet events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_REV_OFFNT_M3,"decimal(20,8)","Indicates Total Revenue of SMS Local Offnet events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_REV_OFFNT_M6,"decimal(20,8)","Indicates Total Revenue of SMS Local Offnet events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_REV_OFFNT_WK1,"decimal(20,8)","Indicates Total Revenue of SMS Local Offnet events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_REV_OFFNT_WK2,"decimal(20,8)","Indicates Total Revenue of SMS Local Offnet events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_REV_OFFNT_WK3,"decimal(20,8)","Indicates Total Revenue of SMS Local Offnet events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_REV_OFFNT_WK4,"decimal(20,8)","Indicates Total Revenue of SMS Local Offnet events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_REV_ONNT_M1,"decimal(20,8)","Indicates Total Revenue of SMS Local ONnet events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_REV_ONNT_M3,"decimal(20,8)","Indicates Total Revenue of SMS Local ONnet events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_REV_ONNT_M6,"decimal(20,8)","Indicates Total Revenue of SMS Local ONnet events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_REV_ONNT_WK1,"decimal(20,8)","Indicates Total Revenue of SMS Local ONnet events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_REV_ONNT_WK2,"decimal(20,8)","Indicates Total Revenue of SMS Local ONnet events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_REV_ONNT_WK3,"decimal(20,8)","Indicates Total Revenue of SMS Local ONnet events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_REV_ONNT_WK4,"decimal(20,8)","Indicates Total Revenue of SMS Local ONnet events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_REV_VAT_M1,"decimal(20,8)","Indicates Total Revenue of SMS VAT events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
SO_REV_WK1,"decimal(20,8)","Indicates Total Revenue of SMS local events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_REV_WK2,"decimal(20,8)","Indicates Total Revenue of SMS local events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_REV_WK3,"decimal(20,8)","Indicates Total Revenue of SMS local events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_REV_WK4,"decimal(20,8)","Indicates Total Revenue of SMS local events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_REV_WKDAY_M1,"decimal(20,8)","Indicates Total Revenue of SMS local events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_REV_WKEND_M1,"decimal(20,8)","Indicates Total Revenue of SMS local events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
W"
SO_ROAM_CNT_CHRG_M1,"decimal(20,8)",SMS Roaming Charged Transactions
SO_ROAM_CNT_FREE_M1,"decimal(20,8)",SMS Roaming Free Transactions
SO_ROAM_CNT_M1,int,SMS Roaming Transactions
SO_ROAM_CNT_M3,int,SMS Roaming Transactions
SO_ROAM_CNT_M6,int,SMS Roaming Transactions
SO_ROAM_CNT_WK1,int,SMS Roaming Transactions
SO_ROAM_CNT_WK2,int,SMS Roaming Transactions
SO_ROAM_CNT_WK3,int,SMS Roaming Transactions
SO_ROAM_CNT_WK4,int,SMS Roaming Transactions
SO_ROAM_REV_M1,"decimal(20,8)",SMS Roaming Revenue
SO_ROAM_REV_M3,"decimal(20,8)",SMS Roaming Revenue
SO_ROAM_REV_M6,"decimal(20,8)",SMS Roaming Revenue
SO_ROAM_REV_WK1,"decimal(20,8)",SMS Roaming Revenue
SO_ROAM_REV_WK2,"decimal(20,8)",SMS Roaming Revenue
SO_ROAM_REV_WK3,"decimal(20,8)",SMS Roaming Revenue
SO_ROAM_REV_WK4,"decimal(20,8)",SMS Roaming Revenue
SO_STD_ACT_MOU_M1,"decimal(20,8)",Actual National SMS usage for a specific Month
SO_STD_CNT_CHRG_M1,"decimal(20,8)",SMS STD Charged Transactions
SO_STD_CNT_FREE_M1,"decimal(20,8)",SMS STD Free Transactions
SR_AVG_RSLTN_TIME_M1,"decimal(20,8)",SR Average resolution time.
SR_AVG_RSLTN_TIME_M2,"decimal(20,8)",SR Average resolution time.
SR_AVG_RSLTN_TIME_M3,"decimal(20,8)",SR Average resolution time.
SR_CNL_CNT_M1,int,Number of SR Channels
SR_CNL_CNT_M2,int,Number of SR Channels
SR_CNL_CNT_M3,int,Number of SR Channels
SR_CNL_CNT_M4,int,Number of SR Channels
SR_CNL_CNT_M5,int,Number of SR Channels
SR_CNL_CNT_M6,int,Number of SR Channels
SR_CNT_M1,int,Number of SRs raised.
SR_CNT_M2,int,Number of SRs raised.
SR_CNT_M3,int,Number of SRs raised.
SR_FAILED_M1,int,Number of failed SRs.
SR_FAILED_M2,int,Number of failed SRs.
SR_FAILED_M3,int,Number of failed SRs.
SR_SCND_TYPE_CNT_M1,int,Second Most Service Order Type Count
SR_SCND_TYPE_CNT_M2,int,Second Most Service Order Type Count
SR_SCND_TYPE_CNT_M3,int,Second Most Service Order Type Count
SR_SCND_TYPE_M1,string,Second Most Service Order Type
SR_SCND_TYPE_M2,string,Second Most Service Order Type
SR_SCND_TYPE_M3,string,Second Most Service Order Type
SR_SCND_TYPE_RSLTN_TIME_M1,"decimal(20,8)",Second Most Service Order Type Resolution time
SR_SCND_TYPE_RSLTN_TIME_M2,"decimal(20,8)",Second Most Service Order Type Resolution time
SR_SCND_TYPE_RSLTN_TIME_M3,"decimal(20,8)",Second Most Service Order Type Resolution time
SR_TOP_CNL_CNT_M1,int,Top Service Order Channel Count
SR_TOP_CNL_CNT_M2,int,Top Service Order Channel Count
SR_TOP_CNL_CNT_M3,int,Top Service Order Channel Count
SR_TOP_CNL_CNT_M4,int,Top Service Order Channel Count
SR_TOP_CNL_CNT_M5,int,Top Service Order Channel Count
SR_TOP_CNL_CNT_M6,int,Top Service Order Channel Count
SR_TOP_CNL_M1,string,Top Service Order Channel
SR_TOP_CNL_M2,string,Top Service Order Channel
SR_TOP_CNL_M3,string,Top Service Order Channel
SR_TOP_CNL_M4,string,Top Service Order Channel
SR_TOP_CNL_M5,string,Top Service Order Channel
SR_TOP_CNL_M6,string,Top Service Order Channel
SR_TOP_TYPE_CNT_M1,int,Top SR Type
SR_TOP_TYPE_CNT_M2,int,Top SR Type
SR_TOP_TYPE_CNT_M3,int,Top SR Type
SR_TOP_TYPE_M1,string,Top SR Type
SR_TOP_TYPE_M2,string,Top SR Type
SR_TOP_TYPE_M3,string,Top SR Type
SR_TOP_TYPE_RSLTN_TIME_M1,"decimal(20,8)",Top Service Order Type Resolution time
SR_TOP_TYPE_RSLTN_TIME_M2,"decimal(20,8)",Top Service Order Type Resolution time
SR_TOP_TYPE_RSLTN_TIME_M3,"decimal(20,8)",Top Service Order Type Resolution time
ST_DATA_LOCAL,string,Segment Type Data Local
ST_DATA_ROAM,string,Segment Type Data Roaming
ST_RCHRG,string,Segment Type Recharge
ST_SMS_STD,string,Segment Type SMS STD
ST_VO_IDD,string,Segment Type Voice IDD
ST_VO_ROAM,string,Segment Type Voice Roaming
ST_VO_STD,string,Segment Type Voice STD
STB_VWRSHP_DUR_SPNT,bigint,Set top box view duration
STRT_STP_FLG,string,In bundle start stop flag
STRT_STP_REV,"decimal(15,8)",In bundle start stop revenue
SVC_CNT_FXD,int,Single customer view fixed count
TENURE,int,The length of time the customer has been held as a subscriber
TOP_BRWSD_1_MNTHLY,string,Top browsed app monthly
TOP_BRWSD_2_MNTHLY,string,Top browsed app monthly
TOP_BRWSD_3_MNTHLY,string,Top browsed app monthly
TOP_BRWSD_4_MNTHLY,string,Top browsed app monthly
TOP_BRWSD_5_MNTHLY,string,Top browsed app monthly
TOP_CALD_IDD_MOU_M1,"decimal(38,6)",Top called IDD usage
TOP_CALD_STD_MOU_M1,"decimal(38,6)",Top called STD usage
TOP_CHNL_TOT_PMNT_RAT_M1,"decimal(20,8)",Top Channel Payment Ratio
TOP_ROAM_CTY_1,string,Top Roaming Country
TOP_ROAM_CTY_2,string,Top Roaming Country
TOP_ROAM_CTY_3,string,Top Roaming Country
TOPUP_AMNT_1,float,Indicates the amount of top up for the top denomination by customer
TOPUP_AMNT_2,float,Indicates the amount of top up for the top denomination by customer
TOPUP_CNT_1,int,Indicates the count of top up for the top denomination by customer
TOPUP_CNT_2,int,Indicates the count of top up for the top denomination by customer
TOPUP_MST_USD_DENOM_1,float,Indicates the most preferred denomation of top up by customer
TOPUP_MST_USD_DENOM_2,float,Indicates the most preferred denomation of top up by customer
TOT_DVC_PLAN_EMI_AMT,"decimal(15,6)",Total Device Plan Emi amount
TOT_DVC_PLAN_EMI_CNT,int,Total Device Plan EMI count
TOT_MRC_DATA_ADD_DEACT_M1,"decimal(38,8)",Total MRC of Data addon ceased in M1
TOT_MRC_DATA_ADDON_ACT_M1,"decimal(38,8)",Total MRC of Data addons activated in M1
TOT_MRC_IDD_ADDON_ACT_M1,"decimal(38,8)",Total MRC of IDD addons activated in M1
TOT_MRC_IDD_ADDON_DEACT_M1,"decimal(38,8)",Total MRC of IDD addon ceased in M1
TOT_MRC_ROAM_VO_ADDON_ACT_M1,"decimal(38,8)",Total MRC of Voice Roaming addons activated in M1
TOT_MRC_ROAM_VO_ADDON_DEACT_M1,"decimal(38,8)",Total MRC of Voice Roaming addon ceased in M1
TOT_MRC_STD_ADDON_ACT_M1,"decimal(38,8)",Total MRC of STD addons activated in M1
TOT_MRC_STD_ADDON_DEACT_M1,"decimal(38,8)",Total MRC of STD addon ceased in M1
TOT_RNTL_AMT,"decimal(15,8)",Indicates the total rental amount of the customer for the billing period
TOT700_AMT_M1,"decimal(20,8)",Monthly Total Type 700 Amount
TOTAL_RECURRING_AMOUNT,"decimal(15,6)","Amount of charges that a customer has to pay after every pre-defined interval of time till the customer avails of the Service. This pre-defined interval of time can be monthly, quarterly, half-yearly, yearly, etc."
USG_TOT_REV,"decimal(20,8)",Indicates the total usage amount of the customer for the billing period
VAS_CD_CONT_BARR_ISD_FLG,string,Value Added service ISD Bar flag
VAS_CD_CONT_BARR_ISD_REV,"decimal(20,8)",Value Added service ISD Bar Revenue
VAS_CD_CONT_BARR_STD_FLG,string,Value Added service STD Bar flag
VAS_CD_CONT_BARR_STD_REV,"decimal(20,8)",Value Added service STD Bar Revenue
VAS_CFW_BSY_NO_ANS_FLG,string,Value Added service Busy No answer flag
VAS_CFW_BSY_NO_ANS_REV,"decimal(20,8)",Value Added service Busy No answer revenue
VAS_CLIP_FLG,string,Value Added service CLIP flag
VAS_CLIP_REV,"decimal(20,8)",Value Added service CLIP revenue
VAS_CONF_FLG,string,Value Added service conference flag
VAS_CONF_REV,"decimal(20,8)",Value Added service conference revenue
VAS_CW_FLG,string,Value Added service call waiting flag
VAS_CW_REV,"decimal(20,8)",Value Added service call waiting revenue
VAS_EXC_BARR_0_00_FLG,string,Value Added service call exclude incoming 0_00 flag
VAS_EXC_BARR_0_00_REV,"decimal(20,8)",Value Added service call exclude incoming  0_00 revenue
VAS_EXC_BARR_00_FLG,string,Value Added service call exclude 00 flag
VAS_EXC_BARR_00_REV,"decimal(20,8)",Value Added service call exclude 00 revenue
VAS_INC_EXC_BARR_FLG,string,Value added service inoming bar flag
VAS_INC_EXC_BARR_REV,"decimal(20,8)",Value added service inoming bar revenue
VAS_NAJMA_CALL_PLS_FLG,string,Value added service najma call please flag
VAS_NAJMA_CALL_PLS_REV,"decimal(20,8)",Value added service najma call please revenue
VAS_STARPACK_FLG,string,Value added service starpack flag
VAS_STARPACK_REV,"decimal(20,8)",Value added service starpack revenue
VAS_VM_FLG,string,Value added service voice mail flag
VAS_VM_REV,"decimal(20,8)",Value added service voice mail revenue
VCHR_ACT_CNT,int,Voucher currently active count
VCHR_DWN_AVG_M3,"decimal(15,6)",Voucher Downloaded Average in 3 months
VCHR_DWN_CNT,int,Voucher Downloaded Count
VCHR_EXPRD_CNT_M1,int,Voucher Expired Count
VCHR_RDMPTN_AVG_M3,"decimal(15,6)",Voucher Redeemed Average in 3 months
VI_CNT_M1,int,"Indicates Number of Occurences of Incoming Voice events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
VI_DUR_M1,int,"Indicates Duration (Seconds) of Incoming Voice events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
VI_DUR_M1_2,bigint,"Indicates Duration (Seconds) of Incoming Voice events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
VO_CNT_CHRG_M1,int,"Indicates Number of Occurences of Charged Local Voice events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
VO_CNT_CHRG_M3,int,"Indicates Number of Occurences of Charged Local Voice events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
VO_CNT_CHRG_M6,int,"Indicates Number of Occurences of Charged Local Voice events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
VO_CNT_CHRG_WK1,int,"Indicates Number of Occurences of Charged Local Voice events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
WKEND_M1: All weekends (Fri - Sat) of the snapshot month"
VO_CNT_CHRG_WK2,int,"Indicates Number of Occurences of Charged Local Voice events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
WKEND_M1: All weekends (Fri - Sat) of the snapshot month"
VO_CNT_CHRG_WK3,int,"Indicates Number of Occurences of Charged Local Voice events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
WKEND_M1: All weekends (Fri - Sat) of the snapshot month"
VO_CNT_CHRG_WK4,int,"Indicates Number of Occurences of Charged Local Voice events within a given month.

WK1: From 1st till 7th day of the snapshot month
WK2: From 8th till 14th day of the snapshot month
WK3: From 15th till 21st day of the snapshot month
WK4: From 22nd till end of the snapshot month
WKDAY_M1: All week days (Sun - Thu) of the snapshot month
WKEND_M1: All weekends (Fri - Sat) of the snapshot month"
VO_CNT_FREE_M1,int,"Indicates Number of Occurences of Free Local Voice events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
VO_CNT_FREE_M3,int,"Indicates Number of Occurences of Free Local Voice events within a given month.

M1: Snapshot month
M2: Snapshot month minus 1
M3: Snapshot month - 2"
